epoch,loss
1,6.124651
2,6.124502
3,6.124336
4,6.124155
5,6.123917
6,6.123608
7,6.123220
8,6.122661
9,6.121889
10,6.120783
11,6.119157
12,6.116764
13,6.113201
14,6.107920
15,6.100056
16,6.088465
17,6.071738
18,6.048803
19,6.020566
20,5.992239
21,5.967329
22,5.944268
23,5.922065
24,5.900109
25,5.878295
26,5.856537
27,5.834920
28,5.813209
29,5.791760
30,5.770398
31,5.749149
32,5.728225
33,5.707559
34,5.687132
35,5.667066
36,5.647474
37,5.628129
38,5.609488
39,5.591389
40,5.573640
41,5.556737
42,5.540139
43,5.524150
44,5.508455
45,5.493427
46,5.478543
47,5.464117
48,5.449703
49,5.435837
50,5.421942
51,5.408014
52,5.394548
53,5.380888
54,5.367319
55,5.353682
56,5.339879
57,5.326332
58,5.312568
59,5.298754
60,5.284527
61,5.270386
62,5.256461
63,5.241716
64,5.227467
65,5.212721
66,5.198058
67,5.183074
68,5.167992
69,5.152874
70,5.137398
71,5.121929
72,5.106594
73,5.090932
74,5.075047
75,5.059223
76,5.042879
77,5.027293
78,5.010475
79,4.994484
80,4.978125
81,4.961474
82,4.945042
83,4.928443
84,4.911937
85,4.895259
86,4.878561
87,4.861954
88,4.845109
89,4.827938
90,4.811133
91,4.794500
92,4.777629
93,4.760677
94,4.743373
95,4.726175
96,4.709330
97,4.691885
98,4.674747
99,4.656719
100,4.639700
101,4.611261
102,4.601828
103,4.593119
104,4.583974
105,4.575043
106,4.566086
107,4.556997
108,4.547802
109,4.538599
110,4.529418
111,4.520394
112,4.511161
113,4.501807
114,4.492839
115,4.483317
116,4.474115
117,4.464679
118,4.455507
119,4.445984
120,4.436625
121,4.427296
122,4.417568
123,4.408469
124,4.398861
125,4.389434
126,4.380015
127,4.370433
128,4.360779
129,4.351475
130,4.341762
131,4.332341
132,4.322745
133,4.313244
134,4.303517
135,4.294026
136,4.284573
137,4.274949
138,4.265297
139,4.255633
140,4.246152
141,4.236633
142,4.226734
143,4.217169
144,4.207807
145,4.198405
146,4.188570
147,4.179112
148,4.169363
149,4.159639
150,4.150509
151,4.140714
152,4.131069
153,4.121765
154,4.112086
155,4.102803
156,4.092893
157,4.083604
158,4.074184
159,4.064723
160,4.055359
161,4.045837
162,4.036003
163,4.027045
164,4.017610
165,4.007947
166,3.998790
167,3.989226
168,3.980145
169,3.970725
170,3.961433
171,3.952120
172,3.942974
173,3.933795
174,3.924479
175,3.915369
176,3.906094
177,3.896956
178,3.887707
179,3.878686
180,3.869938
181,3.860592
182,3.851845
183,3.842704
184,3.833848
185,3.824765
186,3.816008
187,3.806983
188,3.798406
189,3.789517
190,3.780740
191,3.772042
192,3.763467
193,3.754932
194,3.746264
195,3.737513
196,3.728994
197,3.720541
198,3.711866
199,3.703448
200,3.694858
201,3.675775
202,3.671496
203,3.667275
204,3.662990
205,3.658886
206,3.654742
207,3.650562
208,3.646264
209,3.642219
210,3.638088
211,3.633971
212,3.629884
213,3.625744
214,3.621653
215,3.617528
216,3.613456
217,3.609441
218,3.605345
219,3.601276
220,3.597223
221,3.593254
222,3.589196
223,3.585178
224,3.581200
225,3.577081
226,3.573216
227,3.569180
228,3.565323
229,3.561341
230,3.557414
231,3.553503
232,3.549572
233,3.545656
234,3.541808
235,3.537924
236,3.534015
237,3.530092
